id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
12082,12114,16160,753,Gl 105A,,268 G. Cet,2.601357,6.88687,7.1803,1806.27,1442.5,26,5.79,6.509,K3V,0.918,5.538462,4.488223,0.861013,-0.00002374,0.00006168,0.00005304,0.681033735,0.120198562,8.76E-06,6.99E-06,,,Cet,1,12082,Gl 105,0.216970155,,,
15471,15510,20794,1008,Gl 139,,82 G. Eri,3.331944,-43.069784,6.0434,3038.08,726.34,86.7,4.26,5.354,G8V,0.711,2.839238,3.381499,-4.127499,-0.00001715,0.00011797,-0.00004501,0.872300799,-0.751709536,1.47E-05,3.52E-06,,,Eri,1,15471,,0.628637088,,,
3759,3765,4628,222,Gl 33,,96 G. Psc,0.806382,5.280615,7.4549,758.04,-1141.22,-10,5.74,6.378,K2V,0.89,7.258368,1.555495,0.686093,-0.00001198,0.00002545,-0.00004201,0.211110319,0.092164116,3.68E-06,-5.53E-06,,,Psc,1,3759,,0.244793567,,,
13813,13847,18622,897,,The1Eri,Acamar,2.971023,-40.304672,49.4315,-53.53,25.71,12,2.88,-0.59,A4III+...,0.128,26.85749,26.453029,-31.974932,0.00001851,0.00000023,-0.00000324,0.777812118,-0.703449236,-2.60E-07,1.25E-07,The-1,,Eri,1,13813,,149.9684836,,,
7574,7588,10144,472,,Alp Eri,Achernar,1.628556,-57.236757,42.7533,88.02,-40.08,16,0.45,-2.705,B3Vp,-0.158,21.065573,9.568417,-35.951967,-0.00000584,0.00001738,-0.00001826,0.426355066,-0.998969869,4.27E-07,-1.94E-07,Alp,,Eri,1,7574,,1051.961874,Alp,0.487,0.427
60530,60718,108248,4730,,Alp1Cru,Acrux,12.443311,-63.099092,98.7167,-35.37,-14.73,-11,0.77,-4.202,B0.5IV,-0.243,-44.363755,-5.171957,-88.034513,0.00000934,0.00001813,0.00000684,3.257651282,-1.101286903,-1.71E-07,-7.14E-08,Alp-1,,Cru,1,60530,,4176.37993,,,
33492,33579,52089,2618,,21Eps CMa,Adhara,6.977097,-28.972084,124.2236,2.63,2.29,27,1.5,-3.971,B2II,-0.211,-27.497987,105.141608,-60.171969,-0.00000781,0.00002362,-0.00001217,1.826599649,-0.505658252,1.28E-08,1.11E-08,Eps,21,CMa,1,33492,,3375.981049,,,
93846,94141,178524,7264,,41Pi  Sgr,Albaldah,19.162731,-21.023615,156.25,-1.17,-36.83,-10,2.88,-3.089,F2II/III,0.377,43.714239,-139.143552,-56.055078,-0.00000671,0.00001839,-0.00002237,5.016791345,-0.366931299,-5.67E-09,-1.79E-07,Pi,41,Sgr,1,93846,,1498.304211,,,
95648,95947,183912,7417,,6Bet1Cyg,Albireo,19.512023,27.959681,133.1558,-7.09,-5.63,-24,3.05,-2.572,K3II+...,1.088,45.350466,-108.51838,62.430012,-0.00001193,0.00001667,-0.00001472,5.108235547,0.487988492,-3.44E-08,-2.73E-08,Bet-1,6,Cyg,1,95648,,930.6791832,,,
65272,65477,116842,5062,NN 3785,80    UMa,Alcor,13.420413,54.987958,25.0564,120.35,-16.94,-8.9,3.99,1.995,A5V SB,0.169,-13.393436,-5.223608,20.521915,0.00000861,-0.00001233,-0.00000864,3.51345583,0.959720908,5.83E-07,-8.21E-08,,80,UMa,1,65272,,13.86755829,,,
